"الربع","الجنس","العمر","معدل البطالة"
"2020-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2020-Q3","إناث","سن العمل الأساسي (45 - 54)","%5.6"
"2020-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2020-Q4","إناث","سن العمل الأساسي (45 - 54)","%4.4"
"2021-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.7"
"2021-Q1","إناث","سن العمل الأساسي (45 - 54)","%5.3"
"2021-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.7"
"2021-Q2","إناث","سن العمل الأساسي (45 - 54)","%7.4"
"2021-Q3","ذكور","سن العمل الأساسي (45 - 54)","%2.1"
"2021-Q3","إناث","سن العمل الأساسي (45 - 54)","%7.4"
"2021-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.7"
"2021-Q4","إناث","سن العمل الأساسي (45 - 54)","%5.0"
"2022-Q1","ذكور","سن العمل الأساسي (45 - 54)","%2.0"
"2022-Q1","إناث","سن العمل الأساسي (45 - 54)","%4.7"
"2022-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2022-Q2","إناث","سن العمل الأساسي (45 - 54)","%4.0"
"2022-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2022-Q3","إناث","سن العمل الأساسي (45 - 54)","%4.5"
"2022-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2022-Q4","إناث","سن العمل الأساسي (45 - 54)","%3.1"
"2023-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2023-Q1","إناث","سن العمل الأساسي (45 - 54)","%3.5"
"2023-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.1"
"2023-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.7"
"2023-Q3","ذكور","سن العمل الأساسي (45 - 54)","%1.3"
"2023-Q3","إناث","سن العمل الأساسي (45 - 54)","%3.5"
"2023-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2023-Q4","إناث","سن العمل الأساسي (45 - 54)","%2.1"
"2024-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.1"
"2024-Q1","إناث","سن العمل الأساسي (45 - 54)","%2.9"
"2024-Q2","ذكور","سن العمل الأساسي (45 - 54)","%0.7"
"2024-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.9"
"2024-Q3","ذكور","سن العمل الأساسي (45 - 54)","%0.9"
"2024-Q3","إناث","سن العمل الأساسي (45 - 54)","%2.2"
"2024-Q4","ذكور","سن العمل الأساسي (45 - 54)","%1.2"
"2024-Q4","إناث","سن العمل الأساسي (45 - 54)","%1.9"
"2025-Q1","ذكور","سن العمل الأساسي (45 - 54)","%1.0"
"2025-Q1","إناث","سن العمل الأساسي (45 - 54)","%1.4"
"2025-Q2","ذكور","سن العمل الأساسي (45 - 54)","%1.3"
"2025-Q2","إناث","سن العمل الأساسي (45 - 54)","%2.1"
"2025-Q3","ذكور","سن العمل الأساسي (45 - 54)","%2.4"
"2025-Q3","إناث","سن العمل الأساسي (45 - 54)","%2.1"
"2016-Q2","ذكور","من سن 55 وما فوق","%0.4"
"2016-Q2","إناث","من سن 55 وما فوق","%1.4"
"2016-Q3","ذكور","من سن 55 وما فوق","%0.02"
"2016-Q3","إناث","من سن 55 وما فوق","%3.1"
"2016-Q4","ذكور","من سن 55 وما فوق","%0.1"
"2016-Q4","إناث","من سن 55 وما فوق","%0"
"2017-Q1","ذكور","من سن 55 وما فوق","%0.2"
"2017-Q1","إناث","من سن 55 وما فوق","%0"
"2017-Q2","ذكور","من سن 55 وما فوق","%0.5"
"2017-Q2","إناث","من سن 55 وما فوق","%1.0"
"2017-Q3","ذكور","من سن 55 وما فوق","%0.4"
"2017-Q3","إناث","من سن 55 وما فوق","%1.7"
"2017-Q4","ذكور","من سن 55 وما فوق","%0.01"
"2017-Q4","إناث","من سن 55 وما فوق","%0"
"2018-Q1","ذكور","من سن 55 وما فوق","%0.6"
"2018-Q1","إناث","من سن 55 وما فوق","%0"
"2018-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2018-Q2","إناث","من سن 55 وما فوق","%0"
"2018-Q3","ذكور","من سن 55 وما فوق","%0.7"
"2018-Q3","إناث","من سن 55 وما فوق","%0"
"2018-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2018-Q4","إناث","من سن 55 وما فوق","%0"
"2019-Q1","ذكور","من سن 55 وما فوق","%0.3"
"2019-Q1","إناث","من سن 55 وما فوق","%0.2"
"2019-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2019-Q2","إناث","من سن 55 وما فوق","%0.2"
"2019-Q3","ذكور","من سن 55 وما فوق","%0.1"
"2019-Q3","إناث","من سن 55 وما فوق","%0"
"2019-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2019-Q4","إناث","من سن 55 وما فوق","%1.5"
"2020-Q1","ذكور","من سن 55 وما فوق","%0"
"2020-Q1","إناث","من سن 55 وما فوق","%0.7"
"2020-Q2","ذكور","من سن 55 وما فوق","%0.5"
"2020-Q2","إناث","من سن 55 وما فوق","%2.8"
"2020-Q3","ذكور","من سن 55 وما فوق","%0.2"
"2020-Q3","إناث","من سن 55 وما فوق","%0.3"
"2020-Q4","ذكور","من سن 55 وما فوق","%0.5"
"2020-Q4","إناث","من سن 55 وما فوق","%2.7"
"2021-Q1","ذكور","من سن 55 وما فوق","%0.5"
"2021-Q1","إناث","من سن 55 وما فوق","%0.5"
"2021-Q2","ذكور","من سن 55 وما فوق","%0.3"
"2021-Q2","إناث","من سن 55 وما فوق","%4.1"
"2021-Q3","ذكور","من سن 55 وما فوق","%0.6"
"2021-Q3","إناث","من سن 55 وما فوق","%4.2"
"2021-Q4","ذكور","من سن 55 وما فوق","%0.4"
"2021-Q4","إناث","من سن 55 وما فوق","%3.9"
"2022-Q1","ذكور","من سن 55 وما فوق","%0.8"
"2022-Q1","إناث","من سن 55 وما فوق","%1.8"
"2022-Q2","ذكور","من سن 55 وما فوق","%0.3"
"2022-Q2","إناث","من سن 55 وما فوق","%1.7"
"2022-Q3","ذكور","من سن 55 وما فوق","%0.3"
"2022-Q3","إناث","من سن 55 وما فوق","%1.0"
"2022-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2022-Q4","إناث","من سن 55 وما فوق","%0.9"
"2023-Q1","ذكور","من سن 55 وما فوق","%0.3"
"2023-Q1","إناث","من سن 55 وما فوق","%2.1"
"2023-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2023-Q2","إناث","من سن 55 وما فوق","%1.0"
"2023-Q3","ذكور","من سن 55 وما فوق","%0.2"
"2023-Q3","إناث","من سن 55 وما فوق","%1.6"
"2023-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2023-Q4","إناث","من سن 55 وما فوق","%0.9"
"2024-Q1","ذكور","من سن 55 وما فوق","%0.08"
"2024-Q1","إناث","من سن 55 وما فوق","%1.0"
"2024-Q2","ذكور","من سن 55 وما فوق","%0.2"
"2024-Q2","إناث","من سن 55 وما فوق","%0.9"
"2024-Q3","ذكور","من سن 55 وما فوق","%0.2"
"2024-Q3","إناث","من سن 55 وما فوق","%1.4"
"2024-Q4","ذكور","من سن 55 وما فوق","%0.3"
"2024-Q4","إناث","من سن 55 وما فوق","%1.0"
"2025-Q1","ذكور","من سن 55 وما فوق","%0.004"
"2025-Q1","إناث","من سن 55 وما فوق","%0.3"
"2025-Q2","ذكور","من سن 55 وما فوق","%0.3"
"2025-Q2","إناث","من سن 55 وما فوق","%0.9"
"2025-Q3","ذكور","من سن 55 وما فوق","%2.3"
"2025-Q3","إناث","من سن 55 وما فوق","%1.5"
